order_id,customer_id,product_id,order_date,promised_delivery_date,actual_delivery_date,order_status,order_quantity,fulfilled_quantity,delay_days
1852,2858,3488,5/16/2021,10/24/2021,9/25/2021,Delivered,116,488,-4
1584,2333,3037,6/8/2021,11/18/2021,4/25/2021,In-Transit,86,62,9
1799,2952,3365,1/9/2021,12/7/2021,11/12/2021,Delivered,11,328,-4
1229,2174,3148,5/29/2021,4/22/2021,10/21/2021,Delivered,385,52,17
1062,2751,3139,6/25/2021,2/27/2021,8/27/2021,Pending,245,254,12
1271,2624,3438,6/27/2021,4/17/2021,6/12/2021,Canceled,4,273,0
1080,2045,3113,4/22/2021,10/19/2021,12/21/2021,Canceled,490,387,20
1911,2728,3184,11/8/2021,4/25/2021,8/9/2021,Canceled,426,306,-1
1515,2951,3231,12/16/2021,1/19/2021,7/17/2021,Pending,467,95,8
1844,2289,3237,2/3/2021,9/8/2021,7/11/2021,Canceled,389,312,-1
1712,2939,3181,8/2/2021,1/22/2021,1/22/2021,Pending,426,484,2
1474,2388,3124,9/17/2021,10/13/2021,12/27/2021,Pending,23,462,-3
1185,2137,3467,7/7/2021,7/22/2021,7/23/2021,Delivered,290,451,19
1600,2094,3083,9/12/2021,7/25/2021,1/18/2021,Canceled,360,173,-3
1049,2360,3309,7/6/2021,3/25/2021,7/27/2021,Canceled,169,237,19
1086,2137,3328,6/2/2021,8/29/2021,2/6/2021,In-Transit,178,431,1
1769,2187,3047,7/5/2021,9/9/2021,1/18/2021,Pending,43,109,-5
1487,2201,3190,11/8/2021,5/25/2021,6/20/2021,In-Transit,112,166,5
1949,2519,3052,7/8/2021,4/19/2021,2/28/2021,Pending,151,347,-1
1672,2912,3366,11/2/2021,8/2/2021,2/19/2021,Canceled,179,98,6
1032,2407,3102,1/25/2021,8/5/2021,2/5/2021,Delivered,344,466,19
1029,2655,3334,4/11/2021,7/31/2021,6/4/2021,Pending,415,479,1
1712,2626,3492,5/30/2021,10/22/2021,6/14/2021,Delivered,255,224,18
1110,2857,3295,5/6/2021,12/17/2021,11/14/2021,Canceled,28,92,-3
1499,2821,3407,4/30/2021,2/27/2021,5/19/2021,In-Transit,138,266,1
1737,2500,3074,11/18/2021,7/17/2021,7/2/2021,Canceled,428,393,19
1507,2672,3033,2/15/2021,7/22/2021,3/18/2021,Delivered,273,381,18
1449,2485,3246,11/24/2021,9/11/2021,9/14/2021,Canceled,452,299,-4
1051,2786,3323,11/17/2021,8/14/2021,9/6/2021,In-Transit,101,14,-5
1022,2308,3297,3/31/2021,5/2/2021,1/1/2021,Canceled,147,26,12
1187,2475,3093,5/10/2021,6/20/2021,3/8/2021,Canceled,226,58,-2
1253,2216,3358,4/29/2021,4/30/2021,4/21/2021,Pending,331,183,9
1633,2200,3180,3/20/2021,2/23/2021,2/9/2021,Pending,280,378,-2
1112,2222,3384,12/6/2021,6/8/2021,3/26/2021,Canceled,149,112,18
1109,2325,3128,10/26/2021,9/8/2021,3/21/2021,Delivered,102,66,1
1107,2116,3458,10/21/2021,5/13/2021,3/16/2021,Pending,60,87,1
1564,2118,3155,7/2/2021,2/23/2021,1/12/2021,Canceled,184,389,9
1431,2666,3202,2/26/2021,5/23/2021,7/21/2021,Pending,149,234,13
1834,2615,3220,5/16/2021,1/2/2021,3/24/2021,Delivered,449,219,-3
1947,2967,3015,1/2/2021,10/1/2021,8/6/2021,Pending,433,366,19
1683,2474,3436,7/7/2021,7/18/2021,2/10/2021,Delivered,191,97,-1
1095,2966,3458,2/14/2021,7/7/2021,10/19/2021,Delivered,123,55,9
1597,2715,3101,2/26/2021,1/26/2021,7/10/2021,In-Transit,405,41,13
1044,2901,3426,1/2/2021,2/22/2021,2/11/2021,Delivered,493,430,19
1069,2826,3241,10/19/2021,11/2/2021,1/5/2021,Canceled,211,211,-2
1669,2809,3177,6/22/2021,2/18/2021,9/17/2021,In-Transit,18,27,8
1724,2059,3123,12/11/2021,2/26/2021,3/20/2021,Pending,237,223,-4
1619,2050,3075,5/3/2021,12/20/2021,1/27/2021,Pending,183,140,19
1354,2031,3155,1/28/2021,5/19/2021,2/5/2021,Pending,195,382,3
1068,2735,3349,3/13/2021,1/20/2021,9/25/2021,Delivered,274,54,17
1101,2565,3113,12/11/2021,10/27/2021,8/12/2021,Delivered,436,261,-1
1349,2195,3414,10/31/2021,7/11/2021,5/20/2021,In-Transit,154,152,12
1845,2809,3123,2/4/2021,9/13/2021,1/5/2021,In-Transit,292,84,20
1160,2650,3246,11/4/2021,4/30/2021,4/14/2021,Canceled,330,319,16
1526,2912,3473,1/4/2021,10/9/2021,3/27/2021,Pending,73,153,12
1146,2058,3055,5/30/2021,11/27/2021,8/11/2021,Delivered,252,395,1
1486,2809,3080,12/26/2021,11/6/2021,9/9/2021,In-Transit,402,56,20
1471,2166,3218,5/21/2021,4/21/2021,1/12/2021,Delivered,132,221,1
1811,2715,3337,2/1/2021,6/11/2021,8/25/2021,Pending,31,142,-5
1914,2767,3481,9/21/2021,6/24/2021,6/5/2021,Delivered,54,233,14
1526,2123,3295,7/7/2021,3/10/2021,8/14/2021,Pending,410,385,-4
1191,2065,3432,7/6/2021,12/27/2021,2/3/2021,Delivered,85,459,-3
1875,2539,3312,4/9/2021,5/11/2021,10/26/2021,Delivered,381,42,-1
1642,2977,3239,10/24/2021,8/21/2021,3/15/2021,Canceled,434,427,11
1663,2181,3489,1/18/2021,9/24/2021,4/11/2021,In-Transit,456,436,11
1184,2819,3096,10/31/2021,9/14/2021,2/4/2021,Delivered,403,49,9
1432,2245,3176,3/17/2021,4/20/2021,12/8/2021,Pending,67,127,-1
1495,2559,3494,5/3/2021,7/28/2021,6/29/2021,Delivered,62,179,20
1628,2181,3136,4/28/2021,9/9/2021,10/5/2021,Canceled,346,421,0
1474,2224,3027,10/18/2021,6/29/2021,6/30/2021,In-Transit,133,48,3
1835,2725,3014,1/8/2021,5/21/2021,11/28/2021,Pending,237,126,-3
1357,2279,3024,2/23/2021,3/29/2021,12/2/2021,Pending,412,231,18
1712,2974,3025,10/26/2021,11/10/2021,11/25/2021,Delivered,75,81,20
1207,2783,3404,1/22/2021,8/28/2021,6/18/2021,Delivered,308,385,12
1713,2510,3230,1/8/2021,7/28/2021,12/2/2021,In-Transit,451,175,17
1806,2794,3497,2/23/2021,4/6/2021,5/5/2021,Canceled,85,397,12
1955,2359,3089,2/11/2021,8/6/2021,12/23/2021,In-Transit,390,223,5
1712,2484,3397,1/22/2021,3/26/2021,10/4/2021,Canceled,93,147,1
1335,2354,3360,3/14/2021,7/23/2021,8/20/2021,Canceled,160,439,18
1675,2980,3169,8/24/2021,10/31/2021,4/17/2021,Canceled,139,305,16
1628,2722,3274,6/19/2021,11/5/2021,10/29/2021,Canceled,162,313,1
1438,2228,3032,2/14/2021,12/21/2021,10/10/2021,Canceled,197,465,-4
1474,2914,3223,10/15/2021,3/10/2021,11/22/2021,Canceled,253,265,16
1273,2250,3244,11/5/2021,2/22/2021,12/28/2021,Pending,93,303,12
1738,2451,3171,3/24/2021,11/6/2021,3/11/2021,Canceled,28,115,-3
1744,2429,3444,4/20/2021,11/29/2021,12/12/2021,Pending,249,0,20
1913,2365,3066,3/19/2021,5/10/2021,6/30/2021,Canceled,102,232,-2
1185,2115,3121,6/6/2021,3/8/2021,2/28/2021,In-Transit,400,274,0
1022,2683,3363,1/22/2021,8/9/2021,12/18/2021,Delivered,17,182,18
1455,2314,3012,12/13/2021,7/30/2021,4/14/2021,In-Transit,237,427,20
1869,2337,3479,8/12/2021,1/2/2021,3/28/2021,Pending,493,339,-4
1529,2493,3291,8/8/2021,8/24/2021,11/22/2021,Delivered,215,336,15
1760,2876,3462,2/14/2021,3/21/2021,4/7/2021,Canceled,211,466,13
1789,2975,3122,3/7/2021,6/2/2021,5/20/2021,Canceled,334,484,5
1146,2452,3394,5/27/2021,2/23/2021,2/7/2021,In-Transit,339,303,10
1262,2615,3457,2/10/2021,12/30/2021,10/18/2021,Delivered,477,429,20
1253,2040,3487,2/8/2021,9/20/2021,10/26/2021,In-Transit,449,160,13
1414,2686,3339,1/21/2021,5/4/2021,9/2/2021,Pending,258,77,10
1910,2293,3347,9/4/2021,12/12/2021,6/12/2021,Pending,262,456,12
1253,2513,3164,5/13/2021,4/13/2021,3/9/2021,Pending,91,112,10
1987,2867,3496,9/12/2021,12/1/2021,4/10/2021,Pending,286,351,-1
1842,2428,3488,2/16/2021,2/13/2021,12/19/2021,Delivered,277,158,6
1611,2299,3488,12/30/2021,2/3/2021,6/23/2021,Canceled,70,324,14
1304,2511,3210,8/23/2021,5/11/2021,4/16/2021,Canceled,97,299,12
1469,2884,3258,1/12/2021,2/9/2021,10/31/2021,Delivered,217,150,-4
1107,2553,3388,10/26/2021,6/7/2021,1/15/2021,Delivered,496,249,18
1438,2495,3450,2/22/2021,10/30/2021,8/13/2021,In-Transit,215,52,-4
1689,2310,3422,1/20/2021,9/10/2021,4/21/2021,Delivered,490,189,13
1864,2297,3259,10/17/2021,9/27/2021,6/6/2021,In-Transit,445,354,7
1625,2303,3493,9/10/2021,10/11/2021,7/21/2021,Pending,294,161,13
1377,2604,3031,1/25/2021,8/23/2021,5/18/2021,Pending,434,409,-2
1558,2605,3200,4/20/2021,8/9/2021,6/7/2021,In-Transit,321,430,11
1674,2238,3245,1/6/2021,10/27/2021,2/10/2021,Delivered,57,255,6
1854,2209,3237,6/1/2021,9/25/2021,6/15/2021,Delivered,345,494,11
1810,2630,3452,10/28/2021,5/10/2021,3/17/2021,In-Transit,117,482,-2
1089,2774,3016,9/22/2021,8/27/2021,1/22/2021,Delivered,407,107,13
1426,2226,3160,8/20/2021,12/20/2021,1/13/2021,In-Transit,358,398,-4
1400,2849,3444,4/27/2021,4/18/2021,12/10/2021,Canceled,377,62,-2
1570,2097,3457,9/16/2021,8/12/2021,6/11/2021,Canceled,62,354,13
1165,2420,3004,9/21/2021,9/9/2021,9/10/2021,Canceled,457,402,13
1051,2288,3243,2/23/2021,12/13/2021,5/6/2021,Delivered,342,83,14
1312,2897,3449,6/4/2021,7/20/2021,2/17/2021,Pending,258,38,3
1479,2886,3419,5/14/2021,6/20/2021,3/21/2021,In-Transit,488,424,8
1410,2202,3079,3/31/2021,3/11/2021,5/21/2021,In-Transit,16,67,15
1562,2917,3107,12/8/2021,1/22/2021,3/2/2021,Canceled,355,247,15
1598,2502,3232,9/10/2021,8/11/2021,5/24/2021,Delivered,153,24,2
1752,2015,3115,6/19/2021,9/6/2021,12/26/2021,Delivered,1,381,3
1220,2313,3080,5/2/2021,1/14/2021,6/22/2021,Delivered,5,119,14
1066,2173,3119,4/29/2021,6/26/2021,2/10/2021,Canceled,65,351,-4
1588,2866,3173,2/22/2021,1/29/2021,11/20/2021,Pending,168,356,-3
1398,2482,3035,6/28/2021,9/1/2021,10/13/2021,Pending,83,464,-1
1100,2582,3262,7/10/2021,8/3/2021,4/24/2021,Delivered,260,331,5
1290,2362,3434,4/24/2021,12/26/2021,5/30/2021,Canceled,39,286,17
1874,2795,3078,7/5/2021,10/8/2021,12/25/2021,Pending,1,32,12
1020,2930,3473,12/10/2021,4/11/2021,9/22/2021,Pending,482,354,3
1402,2791,3465,10/29/2021,12/20/2021,10/29/2021,Delivered,197,296,4
1736,2303,3082,11/22/2021,10/11/2021,5/5/2021,In-Transit,15,21,2
1540,2308,3111,2/22/2021,5/30/2021,8/30/2021,In-Transit,121,319,10
1203,2073,3093,12/28/2021,5/12/2021,5/20/2021,Delivered,387,216,17
1415,2394,3343,6/15/2021,9/11/2021,9/17/2021,Pending,244,236,18
1419,2279,3378,8/12/2021,6/30/2021,1/18/2021,In-Transit,33,441,19
1590,2285,3494,4/2/2021,11/15/2021,2/16/2021,Canceled,115,131,5
1252,2768,3405,8/3/2021,11/25/2021,5/8/2021,Delivered,458,456,-1
1500,2832,3358,7/15/2021,12/6/2021,10/27/2021,In-Transit,175,249,3
1223,2852,3231,8/29/2021,12/17/2021,9/15/2021,Delivered,429,249,-5
1128,2916,3068,11/8/2021,3/31/2021,6/9/2021,In-Transit,445,452,2
1408,2740,3291,12/13/2021,4/2/2021,11/1/2021,In-Transit,73,149,18
1498,2908,3482,2/15/2021,8/10/2021,4/13/2021,In-Transit,137,278,4
1407,2918,3349,7/3/2021,1/7/2021,6/26/2021,In-Transit,91,331,19
1856,2244,3226,4/10/2021,10/24/2021,11/19/2021,Pending,278,497,18
1292,2761,3338,2/19/2021,6/8/2021,5/25/2021,In-Transit,405,371,-2
1004,2554,3411,5/10/2021,8/20/2021,4/26/2021,Pending,30,105,0
1886,2077,3441,2/17/2021,7/25/2021,8/3/2021,Pending,73,270,1
1969,2496,3258,3/28/2021,1/29/2021,2/21/2021,Pending,422,33,1
1221,2429,3060,12/13/2021,2/23/2021,6/7/2021,Delivered,212,134,13
1639,2081,3235,3/1/2021,8/31/2021,10/27/2021,Canceled,216,407,17
1087,2551,3154,3/3/2021,1/31/2021,5/25/2021,In-Transit,47,306,9
1695,2307,3269,6/4/2021,5/25/2021,10/30/2021,Canceled,151,424,9
1258,2763,3342,5/10/2021,11/12/2021,12/9/2021,Pending,390,362,6
1661,2454,3490,3/13/2021,6/29/2021,4/5/2021,In-Transit,239,223,9
1300,2413,3401,7/21/2021,1/4/2021,4/10/2021,Pending,42,354,13
1943,2755,3288,2/10/2021,11/25/2021,10/27/2021,In-Transit,133,202,19
1677,2635,3114,5/3/2021,9/2/2021,1/17/2021,Canceled,437,288,1
1277,2439,3460,5/20/2021,9/3/2021,11/16/2021,In-Transit,330,295,4
1785,2405,3314,3/11/2021,1/29/2021,11/5/2021,Canceled,297,419,-3
1784,2628,3112,12/13/2021,7/17/2021,8/23/2021,Canceled,297,350,5
1363,2819,3367,7/27/2021,9/20/2021,4/17/2021,Canceled,472,300,16
1264,2219,3082,7/25/2021,9/5/2021,3/29/2021,In-Transit,321,21,17
1751,2104,3410,5/19/2021,9/27/2021,9/16/2021,Delivered,426,284,0
1681,2312,3083,3/8/2021,4/14/2021,8/22/2021,Pending,12,116,19
1912,2316,3187,4/14/2021,6/28/2021,3/31/2021,Canceled,422,287,20
1681,2883,3403,7/21/2021,1/29/2021,2/17/2021,Canceled,338,123,5
1401,2332,3271,8/10/2021,10/18/2021,2/12/2021,Pending,211,381,19
1286,2779,3086,8/26/2021,10/12/2021,12/14/2021,Canceled,325,146,9
1361,2587,3186,4/1/2021,5/23/2021,2/15/2021,Canceled,161,374,-3
1202,2862,3008,1/4/2021,2/4/2021,2/27/2021,Delivered,214,176,-5
1632,2214,3337,4/24/2021,7/24/2021,5/6/2021,Pending,225,109,4
1593,2334,3157,6/19/2021,1/5/2021,12/14/2021,Pending,310,266,15
1114,2466,3307,1/15/2021,11/19/2021,2/10/2021,Canceled,349,268,2
1669,2457,3208,1/28/2021,9/15/2021,9/19/2021,In-Transit,341,394,10
1265,2287,3484,9/25/2021,10/30/2021,3/10/2021,In-Transit,11,47,6
1149,2721,3309,11/1/2021,9/8/2021,2/17/2021,Canceled,309,342,-1
1383,2246,3006,11/7/2021,8/17/2021,4/26/2021,Pending,268,277,2
1534,2167,3462,1/12/2021,10/23/2021,1/1/2021,Pending,391,358,13
1944,2953,3089,4/26/2021,10/31/2021,8/21/2021,Canceled,133,162,0
1633,2428,3142,11/20/2021,11/9/2021,8/6/2021,In-Transit,33,225,13
1821,2712,3034,3/21/2021,2/13/2021,2/9/2021,Pending,232,294,19
1884,2596,3280,10/19/2021,8/28/2021,8/27/2021,Canceled,215,259,17
1538,2050,3288,3/13/2021,5/20/2021,7/14/2021,In-Transit,159,8,13
1737,2401,3390,2/11/2021,8/31/2021,2/28/2021,Delivered,352,270,5
1945,2586,3330,12/23/2021,3/14/2021,12/23/2021,Delivered,86,173,-5
1508,2731,3383,10/23/2021,4/21/2021,12/25/2021,Delivered,452,219,-5
1958,2150,3155,3/26/2021,7/8/2021,7/3/2021,Delivered,382,100,4
1884,2594,3327,12/22/2021,9/16/2021,2/16/2021,Delivered,382,307,17
1157,2729,3397,2/18/2021,11/28/2021,4/16/2021,In-Transit,428,66,-4
1308,2339,3166,3/1/2021,8/3/2021,3/17/2021,In-Transit,258,100,17
1010,2128,3433,12/18/2021,6/28/2021,5/2/2021,In-Transit,192,114,-5
1433,2955,3208,3/22/2021,12/29/2021,1/11/2021,In-Transit,175,356,18
1157,2700,3232,6/3/2021,7/28/2021,1/3/2021,Pending,234,52,15
1810,2971,3263,12/1/2021,7/25/2021,12/13/2021,Delivered,380,215,5
1941,2479,3318,3/9/2021,3/7/2021,5/10/2021,In-Transit,131,12,3
1959,2636,3433,8/22/2021,2/27/2021,8/13/2021,Pending,124,78,16
1089,2518,3155,9/22/2021,2/5/2021,2/18/2021,Pending,259,351,9
1048,2324,3489,4/28/2021,11/8/2021,3/29/2021,In-Transit,381,82,20
1381,2567,3459,6/22/2021,4/16/2021,7/28/2021,Delivered,90,489,-3
1253,2061,3427,12/5/2021,3/8/2021,1/4/2021,Canceled,378,4,10
1255,2783,3001,1/8/2021,4/26/2021,6/15/2021,In-Transit,92,394,13
1007,2257,3296,12/8/2021,10/13/2021,8/3/2021,Delivered,108,293,17
1171,2977,3152,12/8/2021,11/25/2021,7/31/2021,Delivered,183,264,8
1351,2712,3242,3/1/2021,11/29/2021,1/17/2021,Pending,240,59,16
1514,2737,3089,10/12/2021,1/20/2021,2/2/2021,Delivered,163,320,5
1433,2527,3387,10/26/2021,8/13/2021,4/6/2021,In-Transit,351,414,-2
1328,2180,3208,6/19/2021,10/3/2021,3/19/2021,Pending,219,79,-2
1627,2039,3377,9/1/2021,5/11/2021,10/16/2021,In-Transit,467,68,3
1613,2761,3083,6/21/2021,8/23/2021,11/19/2021,Delivered,393,242,-3
1825,2665,3066,6/14/2021,2/9/2021,2/6/2021,In-Transit,118,79,20
1619,2314,3122,10/5/2021,9/17/2021,7/20/2021,Delivered,359,205,9
1076,2554,3207,10/7/2021,4/9/2021,1/1/2021,Canceled,71,195,-5
1659,2224,3441,1/29/2021,6/2/2021,12/7/2021,In-Transit,497,96,-4
1002,2465,3145,3/10/2021,10/13/2021,8/22/2021,In-Transit,324,246,15
1804,2801,3410,11/12/2021,5/28/2021,4/2/2021,Canceled,151,277,14
1492,2950,3089,8/30/2021,11/20/2021,7/3/2021,Delivered,362,348,0
1339,2240,3244,8/16/2021,9/14/2021,6/14/2021,Pending,84,140,19
1423,2881,3055,4/3/2021,2/18/2021,2/4/2021,Delivered,323,157,9
1897,2160,3258,8/23/2021,12/16/2021,2/16/2021,Delivered,500,282,-1
1650,2550,3301,6/1/2021,4/7/2021,6/11/2021,Canceled,366,326,8
1591,2949,3253,6/27/2021,4/14/2021,5/26/2021,Pending,139,492,-1
1705,2787,3397,12/15/2021,7/25/2021,6/17/2021,Pending,259,197,6
1754,2669,3418,2/23/2021,7/3/2021,10/10/2021,Canceled,380,178,17
1537,2512,3455,9/16/2021,10/13/2021,1/6/2021,Delivered,190,58,7
1621,2113,3275,4/10/2021,6/30/2021,9/27/2021,In-Transit,243,40,9
1482,2004,3435,4/27/2021,12/24/2021,1/9/2021,Pending,76,66,17
1109,2925,3260,1/21/2021,5/20/2021,3/17/2021,Delivered,33,193,17
1246,2437,3065,1/20/2021,1/14/2021,11/29/2021,Canceled,459,159,14
1597,2695,3408,4/24/2021,6/24/2021,7/20/2021,Pending,467,182,18
1380,2317,3172,11/22/2021,11/10/2021,10/10/2021,Delivered,245,269,18
1115,2568,3055,4/13/2021,6/18/2021,1/12/2021,In-Transit,353,183,11
1157,2421,3129,2/15/2021,11/9/2021,9/7/2021,Pending,289,189,16
1021,2294,3262,2/22/2021,9/2/2021,5/2/2021,Canceled,69,160,16
1269,2780,3349,11/11/2021,5/19/2021,4/13/2021,Delivered,208,414,-2
1936,2827,3065,2/8/2021,4/12/2021,4/23/2021,Pending,379,282,10
1023,2555,3227,2/18/2021,10/5/2021,5/5/2021,Delivered,287,283,5
1776,2205,3170,6/4/2021,6/24/2021,7/10/2021,In-Transit,94,348,0
1949,2808,3040,8/6/2021,11/25/2021,5/12/2021,In-Transit,270,151,-3
1996,2629,3475,11/30/2021,3/22/2021,3/6/2021,In-Transit,401,183,-5
1645,2361,3242,11/24/2021,12/21/2021,11/18/2021,Pending,64,53,11
1583,2400,3291,7/6/2021,7/15/2021,9/15/2021,Delivered,94,153,8
1727,2288,3485,8/16/2021,12/9/2021,12/24/2021,In-Transit,240,438,14
1049,2522,3199,1/12/2021,5/6/2021,11/2/2021,In-Transit,319,263,14
1180,2170,3090,9/5/2021,4/1/2021,9/19/2021,Canceled,345,31,19
1095,2846,3136,4/30/2021,10/30/2021,2/20/2021,Delivered,8,134,8
1182,2995,3391,3/26/2021,10/10/2021,2/12/2021,Pending,389,307,3
1743,2112,3077,2/5/2021,5/7/2021,5/11/2021,Canceled,71,215,20
1347,2040,3352,9/19/2021,6/24/2021,9/15/2021,In-Transit,405,270,18
1338,2108,3130,11/26/2021,3/7/2021,3/18/2021,Pending,105,391,15
1368,2722,3428,10/17/2021,9/10/2021,3/7/2021,Canceled,337,117,3
1027,2086,3485,12/24/2021,1/18/2021,1/11/2021,Delivered,420,15,-2
1081,2832,3106,2/13/2021,5/5/2021,5/17/2021,Pending,43,103,0
1781,2187,3007,7/13/2021,1/9/2021,9/1/2021,Pending,386,449,10
1248,2411,3188,3/22/2021,11/28/2021,9/14/2021,Delivered,254,205,7
1117,2149,3053,2/12/2021,2/25/2021,10/29/2021,Delivered,236,257,19
1133,2221,3436,3/10/2021,8/9/2021,9/20/2021,Pending,463,116,20
1399,2413,3361,9/25/2021,1/25/2021,4/5/2021,Delivered,172,280,10
1837,2062,3346,2/17/2021,4/28/2021,9/10/2021,Delivered,491,392,14
1300,2406,3344,5/31/2021,6/16/2021,4/5/2021,In-Transit,245,64,16
1241,2162,3449,3/28/2021,5/24/2021,2/10/2021,Delivered,20,61,3
1598,2719,3447,5/15/2021,4/8/2021,3/8/2021,Delivered,455,482,-4
1665,2206,3491,11/27/2021,6/9/2021,6/14/2021,Pending,421,37,8
1397,2456,3139,11/18/2021,9/6/2021,10/15/2021,Pending,250,145,7
1693,2927,3300,2/21/2021,5/17/2021,7/6/2021,Canceled,193,232,0
1765,2371,3447,10/27/2021,1/13/2021,7/24/2021,In-Transit,446,368,17
1495,2769,3388,5/1/2021,3/13/2021,7/1/2021,In-Transit,151,21,-2
1156,2549,3344,9/12/2021,7/29/2021,12/20/2021,Delivered,464,375,-3
1394,2549,3456,10/29/2021,9/30/2021,11/18/2021,Pending,379,312,19
1074,2324,3257,12/30/2021,4/11/2021,9/23/2021,Canceled,318,277,14
1559,2303,3235,3/28/2021,9/13/2021,3/26/2021,Canceled,200,95,6
1571,2488,3018,11/29/2021,6/24/2021,12/14/2021,Pending,331,457,-3
1233,2956,3339,11/25/2021,6/6/2021,1/11/2021,Delivered,314,477,6
1301,2635,3219,11/6/2021,9/14/2021,7/14/2021,Delivered,411,436,18
1349,2305,3397,8/21/2021,1/10/2021,4/8/2021,Canceled,472,5,5
1287,2357,3052,2/22/2021,6/26/2021,11/17/2021,Canceled,40,280,0
1279,2134,3179,9/3/2021,4/3/2021,11/15/2021,Canceled,342,401,18
1262,2345,3479,11/18/2021,10/9/2021,12/11/2021,Pending,314,459,5
1558,2026,3210,3/9/2021,10/4/2021,3/18/2021,Delivered,236,10,-3
1115,2024,3251,8/25/2021,2/18/2021,12/12/2021,In-Transit,171,254,-2
1728,2342,3358,1/8/2021,5/25/2021,12/23/2021,Pending,265,99,18
1558,2321,3226,2/20/2021,2/24/2021,10/13/2021,Delivered,385,86,16
1682,2862,3327,12/23/2021,7/28/2021,8/3/2021,Pending,328,85,14
1308,2211,3220,5/8/2021,9/4/2021,2/25/2021,Canceled,30,412,16
1814,2934,3163,7/15/2021,4/8/2021,1/29/2021,Delivered,312,100,12
1187,2824,3004,4/13/2021,10/27/2021,10/27/2021,Delivered,273,309,1
1060,2136,3361,5/11/2021,9/4/2021,5/15/2021,Delivered,381,310,7
1396,2926,3347,3/2/2021,4/19/2021,9/15/2021,Pending,346,137,17
1384,2976,3109,10/15/2021,10/7/2021,12/21/2021,Pending,29,8,17
1755,2347,3297,7/26/2021,10/11/2021,3/26/2021,Pending,341,358,-4
